iter	Passed	Remaining
410	5035	56224
411	5046	56202
412	5058	56177
413	5069	56156
414	5080	56132
415	5091	56105
416	5102	56080
417	5114	56061
418	5125	56038
419	5140	56055
420	5156	56084
421	5173	56120
422	5185	56108
423	5197	56094
424	5209	56077
425	5221	56059
426	5232	56035
427	5245	56031
428	5257	56022
429	5271	56020
430	5282	55999
431	5297	56016
432	5300	55905
433	5318	55958
434	5334	55983
435	5346	55967
436	5358	55948
437	5369	55929
438	5380	55904
439	5396	55925
440	5410	55932
441	5425	55950
442	5439	55949
443	5450	55931
444	5462	55909
445	5474	55900
446	5486	55881
447	5497	55860
448	5509	55841
449	5520	55820
450	5532	55803
451	5543	55781
452	5555	55760
453	5566	55743
454	5578	55719
455	5589	55698
456	5602	55697
457	5616	55697
458	5628	55682
459	5639	55657
460	5650	55635
461	5661	55612
462	5673	55593
463	5684	55571
464	5696	55551
465	5707	55530
466	5718	55508
467	5734	55526
468	5747	55526
469	5763	55546
470	5774	55529
471	5787	55520
472	5799	55508
473	5811	55489
474	5822	55465
475	5833	55444
476	5845	55428
477	5856	55407
478	5873	55435
479	5885	55422
480	5897	55402
481	5907	55376
482	5919	55358
483	5931	55341
484	5942	55324
485	5954	55302
486	5965	55283
487	5976	55261
488	5988	55247
489	6000	55229
490	6012	55213
491	6024	55195
492	6036	55182
493	6052	55210
494	6068	55230
495	6085	55258
496	6097	55244
497	6108	55220
498	6119	55199
499	6131	55183
500	6143	55164
501	6154	55145
502	6166	55130
503	6185	55175
504	6213	55306
505	6230	55339
506	6242	55322
507	6254	55308
508	6269	55314
509	6280	55297
510	6292	55276
511	6303	55255
512	6315	55239
513	6327	55225
514	6339	55211
515	6350	55188
516	6362	55167
517	6374	55154
518	6384	55121
519	6396	55104
520	6407	55083
521	6418	55065
522	6429	55042
523	6442	55028
524	6453	55008
525	6465	54992
526	6476	54972
527	6487	54950
528	6501	54948
529	6513	54934
530	6526	54925
531	6538	54909
532	6550	54896
533	6561	54878
534	6573	54859
535	6584	54838
536	6595	54814
537	6606	54793
538	6617	54771
539	6629	54754
540	6640	54734
541	6652	54713
542	6663	54694
543	6675	54679
544	6686	54661
545	6698	54642
546	6709	54620
547	6722	54617
548	6735	54611
549	6747	54590
550	6760	54587
551	6776	54606
552	6788	54593
553	6800	54575
554	6811	54554
555	6822	54530
556	6834	54512
557	6844	54487
558	6855	54467
559	6868	54453
560	6879	54434
561	6892	54429
562	6905	54423
563	6918	54415
564	6929	54390
565	6941	54380
566	6952	54354
567	6965	54349
568	6983	54385
569	6996	54377
570	7008	54360
571	7019	54343
572	7031	54324
573	7043	54309
574	7054	54286
